Akron,New York,United States,32.87802,-87.743989
Huntsville,New York,United States,34.729135,-86.584979
Addison,New York,United States,34.202175,-87.181384
Montgomery,New York,United States,32.38012,-86.300629
Birmingham,New York,United States,33.520295,-86.811504
Somerville,New York,United States,34.471155,-86.799394
Albertville,New York,United States,34.269515,-86.207944
Alexander City,New York,United States,32.938845,-85.95295
Alexandria,New York,United States,33.76698,-85.892347
Aliceville,New York,United States,33.12943,-88.153104
Irvington,New York,United States,30.514973,-88.222122
Andalusia,New York,United States,31.319599,-86.495424
Anniston,New York,United States,33.65711,-85.819449
Oneonta,New York,United States,33.948315,-86.472939
Arab,New York,United States,34.322876,-86.49535
Ashford,New York,United States,31.187665,-85.234823
Ashville,New York,United States,33.83651,-86.254749
Athens,New York,United States,34.8045,-86.971279
Auburn,New York,United States,32.607465,-85.481735
Prattville,New York,United States,32.461855,-86.450749
Decatur,New York,United States,34.607389,-86.979767
Mobile,New York,United States,30.686395,-88.053239
Bay Minette,New York,United States,30.882904,-87.773568
Clayton,New York,United States,31.878775,-85.449644
Opelika,New York,United States,32.6505,-85.380649
Berry,New York,United States,33.660343,-87.600082
Valley,New York,United States,32.843965,-85.180929
West Blocton,New York,United States,33.115377,-87.118992
Centreville,New Jersey,United States,32.94488,-87.134714
Cleveland,New Jersey,United States,33.991515,-86.577049
Eight Mile,New Jersey,United States,30.775282,-88.177529
Boaz,New Jersey,United States,34.19763,-86.165596
Madison,New Jersey,United States,34.705885,-86.750953
Tuskegee,New Jersey,United States,32.424055,-85.689779
Florence,New Jersey,United States,34.800465,-87.675254
Brantley,New Jersey,United States,31.58243,-86.256884
Sylacauga,New Jersey,United States,33.171565,-86.250254
Killen,New Jersey,United States,34.859229,-87.529569
Brookwood,New Jersey,United States,33.25432,-87.326719
New Market,New Jersey,United States,34.909465,-86.427789
Union Springs,New Jersey,United States,32.146145,-85.712674
Hunstville,New Jersey,United States,32.61436,-86.680737
Letohatchee,New Jersey,United States,32.052205,-86.547334
Carbon Hill,New Jersey,United States,33.88848,-87.528889
Ozark,New Jersey,United States,31.458955,-85.640714
Cedar Bluff,New Jersey,United States,34.217656,-85.607709
Tuscaloosa,New Jersey,United States,33.210435,-87.566214
Rockford,New Jersey,United States,32.889938,-86.21917
Phenix City,New Jersey,United States,32.46764,-85.000823
Troy,New Jersey,United States,31.809675,-85.972173
Centre,New Jersey,United States,34.152189,-85.679685
Cherokee,New Jersey,United States,34.75548,-87.973404
Childersburg,New Jersey,United States,33.276737,-86.360671
Clanton,New Jersey,United States,32.84057,-86.631863
Butler,New Jersey,United States,32.089355,-88.221279
Citronelle,New Jersey,United States,31.092724,-88.23813
Grove Hill,New Jersey,United States,31.70934,-87.776644
CPinson,New Jersey,United States,32.61436,-86.680737
Ashland,New Jersey,United States,33.27431,-85.835464
Coffeeville,New Jersey,United States,31.75696,-88.091134
Leighton,New Jersey,United States,34.697807,-87.528989
Tuscumbia,New Jersey,United States,34.731285,-87.702839
Bremen,New Jersey,United States,33.969667,-86.990867
Cordova,New Jersey,United States,33.754915,-87.182199
Courtland,New Jersey,United States,34.669075,-87.308469
Cullman,New Jersey,United States,34.174375,-86.843454
Jasper,New Jersey,United States,33.831278,-87.281374
Dadeville,New Jersey,United States,32.82885,-85.764549
Daleville,New Jersey,United States,31.30706,-85.713914
Plantersville,New Jersey,United States,32.659615,-86.923664
Danville,New Jersey,United States,34.414765,-87.086909
Daphne,New Jersey,United States,30.603905,-87.901509
Verbena,New Jersey,United States,32.753645,-86.510739
Rainsville,New Jersey,United States,34.495284,-85.846467
Demopolis,New Jersey,United States,32.504764,-87.837854
Drdora,New Jersey,United States,32.61436,-86.680737
Dothan,New Jersey,United States,31.22324,-85.393329
Douglas,New Jersey,United States,34.175113,-86.321097
Elba,New Jersey,United States,31.41459,-86.067359
Gadsden,New Jersey,United States,34.014772,-86.007172
Eclectic,New Jersey,United States,32.63599,-86.03463
Enterprise,New Jersey,United States,31.315215,-85.854674
Attalla,New Jersey,United States,34.021445,-86.088919
Fairfield,New Jersey,United States,33.490612,-86.915661
Fairhope,New Jersey,United States,30.536354,-87.886199
Falkville,New Jersey,United States,34.36883,-86.907229
Prichard,New Jersey,United States,30.73797,-88.081264
Fayette,New Jersey,United States,33.685115,-87.828978
Florala,New Jersey,United States,31.018975,-86.326644
Foley,New Jersey,United States,30.40585,-87.683799
Greenville,New Jersey,United States,31.829446,-86.633489
Fort Payne,New Jersey,United States,34.441318,-85.714378
Russellville,New Jersey,United States,34.50743,-87.728409
Frisco City,New Jersey,United States,31.434259,-87.399483
Gardendale,New Jersey,United States,33.65116,-86.811394
Gaylesville,New Jersey,United States,34.266092,-85.560267
Hartford,New Jersey,United States,31.10225,-85.696049
Geneva,New Jersey,United States,31.042149,-85.867019
Skipperville,New Jersey,United States,31.564931,-85.531672
Glencoe,New Jersey,United States,33.959705,-85.934459
Gordo,New Jersey,United States,33.318781,-87.907645
Eutaw,New Jersey,United States,32.84059,-87.887844
Gulf Shores,New Jersey,United States,30.27732,-87.683094
Guntersville,New Jersey,United States,34.35113,-86.299159
Moundville,New Jersey,United States,32.99865,-87.622279
Haleyville,New Jersey,United States,34.227425,-87.621439
Hanceville,New Jersey,United States,34.06171,-86.769509
Roanoke,New Jersey,United States,33.15229,-85.375299
Hartselle,New Jersey,United States,34.444765,-86.93525
Town Creek,New Jersey,United States,34.68126,-87.407489
Hayden,New Jersey,United States,33.892695,-86.751867
Hazel Green,New Jersey,United States,34.928785,-86.571848
Headland,New Jersey,United States,31.351472,-85.342423
Trussville,New Jersey,United States,33.621385,-86.602739
Hokes Bluff,New Jersey,United States,33.98723,-85.883749
Holly Pond,New Jersey,United States,34.174315,-86.617874
Deatsville,New Jersey,United States,32.609419,-86.398016
Homewood,New Jersey,United States,33.478774,-86.78967
Columbia,New Jersey,United States,31.292765,-85.111004
Hueytown,New Jersey,United States,33.442804,-86.994609
Blountsville,New Jersey,United States,34.086615,-86.589489
Beatrice,New Jersey,United States,31.73187,-87.208574
Jackson,New Jersey,United States,31.508341,-87.89501
Jacksonville,New Jersey,United States,33.814222,-85.761183
Irondale,New Jersey,United States,33.53794,-86.706719
Jemison,New Jersey,United States,32.960356,-86.744099
Bessemer,New Jersey,United States,33.40203,-86.953994
Selma,New Jersey,United States,32.41179,-87.022234
Grant,New Jersey,United States,34.526192,-86.2528
Orrville,New Jersey,United States,32.306622,-87.246934
Carrollton,New Jersey,United States,33.262005,-88.094464
Lafayette,New Jersey,United States,32.89942,-85.401234
Vernon,New Jersey,United States,33.758547,-88.108905
Lanett,New Jersey,United States,32.871337,-85.186115
Moulton,New Jersey,United States,34.481115,-87.292409
Leeds,New Jersey,United States,33.54247,-86.540814
Lincoln,New Jersey,United States,33.603865,-86.119529
Linden,New Jersey,United States,32.306695,-87.797969
Lineville,New Jersey,United States,33.310616,-85.753501
Livingston,New Jersey,United States,32.583785,-88.186874
Loachapoka,New Jersey,United States,32.604344,-85.599579
Locust Fork,New Jersey,United States,33.908435,-86.616014
Hayneville,New Jersey,United States,32.18403,-86.580384
Lynn,New Jersey,United States,34.04676,-87.549774
Gurley,New Jersey,United States,34.696074,-86.37629
Marbury,New Jersey,United States,32.700589,-86.46573
Guin,New Jersey,United States,33.965649,-87.914119
Marion,New Jersey,United States,32.634632,-87.319133
Semmes,New Jersey,United States,30.778855,-88.258839
Arley,New Jersey,United States,34.078806,-87.212411
Midfield,New Jersey,United States,33.466785,-86.907899
